Calendar Month,Births
2007-01-01 00:00:00,977975
2007-02-01 00:00:00,861284
2007-03-01 00:00:00,944404
2007-04-01 00:00:00,890185
2007-05-01 00:00:00,959659
2007-06-01 00:00:00,941303
2007-07-01 00:00:00,1013320
2007-08-01 00:00:00,1027205
2007-09-01 00:00:00,990337
2007-10-01 00:00:00,1004318
2007-11-01 00:00:00,938025
2007-12-01 00:00:00,912306
2008-01-01 00:00:00,998916
2008-02-01 00:00:00,901166
2008-03-01 00:00:00,929305
2008-04-01 00:00:00,925541
2008-05-01 00:00:00,958951
2008-06-01 00:00:00,937389
2008-07-01 00:00:00,1026836
2008-08-01 00:00:00,1009792
2008-09-01 00:00:00,1013363
2008-10-01 00:00:00,988832
2008-11-01 00:00:00,898962
2008-12-01 00:00:00,928917
2009-01-01 00:00:00,954648
2009-02-01 00:00:00,857084
2009-03-01 00:00:00,935357
2009-04-01 00:00:00,913474
2009-05-01 00:00:00,922777
2009-06-01 00:00:00,931154
2009-07-01 00:00:00,1011807
2009-08-01 00:00:00,979738
2009-09-01 00:00:00,1000235
2009-10-01 00:00:00,968084
2009-11-01 00:00:00,888756
2009-12-01 00:00:00,916914
2010-01-01 00:00:00,924989
2010-02-01 00:00:00,837835
2010-03-01 00:00:00,923025
2010-04-01 00:00:00,867871
2010-05-01 00:00:00,905716
2010-06-01 00:00:00,922164
2010-07-01 00:00:00,968056
2010-08-01 00:00:00,977410
2010-09-01 00:00:00,975904
2010-10-01 00:00:00,963911
2010-11-01 00:00:00,920797
2010-12-01 00:00:00,909753
2011-01-01 00:00:00,935335
2011-02-01 00:00:00,838034
2011-03-01 00:00:00,917619
2011-04-01 00:00:00,864370
2011-05-01 00:00:00,898914
2011-06-01 00:00:00,918900
2011-07-01 00:00:00,971502
2011-08-01 00:00:00,1000863
2011-09-01 00:00:00,971885
2011-10-01 00:00:00,932712
2011-11-01 00:00:00,902703
2011-12-01 00:00:00,891983
2012-01-01 00:00:00,606481
2012-02-01 00:00:00,595564
2012-03-01 00:00:00,627952
2012-04-01 00:00:00,594020
2012-05-01 00:00:00,647559
2012-06-01 00:00:00,628467
2012-07-01 00:00:00,680821
2012-08-01 00:00:00,700020
2012-09-01 00:00:00,659206
2012-10-01 00:00:00,678489
2012-11-01 00:00:00,629554
2012-12-01 00:00:00,482240
2013-01-01 00:00:00,426753
2013-02-01 00:00:00,380546
2013-03-01 00:00:00,376183
2013-04-01 00:00:00,339244
2013-05-01 00:00:00,331652
2013-06-01 00:00:00,317000
